id,type_brick,type,start_to_verif,verif_to_dest,dest_to_end,total_time
1,CORNER,2,6,18,16,40
2,HALF,3,4,16,18,38
4,BASIC,1,6,14,16,36
6,BASIC,1,6,14,16,36
9,BASIC,1,8,12,24,44
10,BASIC,1,6,14,14,34
12,BASIC,1,8,12,14,34
13,BASIC,1,8,12,26,46
14,BASIC,1,8,12,14,34
19,BASIC,1,10,8,38,56
21,END,4,6,18,22,46
23,BASIC,1,8,20,18,46
24,BASIC,1,10,16,18,44
25,BASIC,1,6,18,20,44
26,BASIC,1,6,20,18,44
27,BASIC,1,6,20,18,44
28,BASIC,1,10,16,22,48
29,BASIC,1,6,18,20,44
30,BASIC,1,8,16,22,46
32,BASIC,1,8,16,28,52
33,BASIC,1,8,18,22,48
35,HALF,3,6,20,10,36
36,CORNER,2,8,14,16,38
37,HALF,3,6,14,24,44
38,BASIC,1,4,16,20,40
39,BASIC,1,8,16,16,40
40,BASIC,1,8,16,20,44
41,BASIC,1,8,16,18,42
42,BASIC,1,8,18,18,44
43,BASIC,1,8,22,22,52
44,BASIC,1,6,18,20,44
45,BASIC,1,6,18,20,44
47,BASIC,1,6,18,22,46
48,BASIC,1,8,18,28,54
49,BASIC,1,6,18,24,48
50,BASIC,1,6,20,22,48
51,BASIC,1,8,20,18,46
53,END,4,14,16,8,38
54,BASIC,1,16,14,8,38
55,BASIC,1,20,14,8,42
56,BASIC,1,18,12,8,38
57,BASIC,1,18,12,8,38
58,BASIC,1,18,12,18,48
59,BASIC,1,6,14,23,43
60,BASIC,1,7,12,18,37
61,BASIC,1,8,12,24,44
62,BASIC,1,7,11,16,34
63,BASIC,1,6,12,18,36
64,BASIC,1,8,10,18,36
65,BASIC,1,6,15,13,34
66,BASIC,1,6,14,26,46
67,BASIC,1,8,12,16,36
68,BASIC,1,10,11,15,36
70,CORNER,2,12,18,14,44
71,HALF,3,4,16,36,56
72,BASIC,1,8,14,14,36
73,BASIC,1,8,16,16,40
74,BASIC,1,8,14,14,36
75,BASIC,1,6,14,14,34
76,BASIC,1,4,14,36,54
77,BASIC,1,6,14,43,63
78,BASIC,1,7,12,14,33
86,BASIC,1,7,9,18,34
87,BASIC,1,6,10,24,40
89,END,4,10,14,30,54
90,BASIC,1,12,16,18,46
91,BASIC,1,10,14,16,40
92,BASIC,1,6,16,15,37
93,BASIC,1,7,14,16,37
94,BASIC,1,10,14,16,40
95,BASIC,1,8,16,16,40
96,BASIC,1,8,16,18,42
97,BASIC,1,6,16,18,40
98,BASIC,1,6,22,14,42
99,BASIC,1,7,15,16,38
100,BASIC,1,8,16,16,40
101,BASIC,1,7,17,14,38
102,BASIC,1,6,18,31,55
103,HALF,3,5,22,8,35
104,CORNER,2,8,14,16,38
105,HALF,3,18,18,14,50
106,BASIC,1,10,12,14,36
108,BASIC,1,8,14,14,36
109,BASIC,1,8,14,14,36
110,BASIC,1,8,14,14,36
111,BASIC,1,8,14,14,36
112,BASIC,1,8,16,14,38
113,BASIC,1,8,14,16,38
114,BASIC,1,6,14,16,36
115,BASIC,1,8,16,27,51
116,BASIC,1,9,16,30,55
117,BASIC,1,8,16,16,40
118,BASIC,1,10,16,16,42
119,BASIC,1,8,16,33,57
120,END,4,7,24,10,41
121,END,4,8,12,16,36
122,BASIC,1,6,14,15,35
123,BASIC,1,15,12,14,41
125,BASIC,1,8,12,13,33
126,BASIC,1,8,11,14,33
133,BASIC,1,10,8,19,37
136,BASIC,1,17,7,10,34
